8.050291812295981564e-03,1.623255215830236654e-11
8.200260619934130954e-03,1.550038957672527349e-11
8.353023195026778799e-03,1.480125465013708138e-11
8.508631582640582489e-03,1.413365725219490942e-11
8.667138797389234081e-03,1.349617450513667085e-11
8.828598841495149604e-03,1.288744774366119894e-11
8.993066723187623582e-03,1.230617961596746050e-11
9.160598475443709407e-03,1.175113131575056271e-11
9.331251175078249249e-03,1.122111993923321169e-11
9.505082962189511861e-03,1.071501596157962365e-11
9.682153059967075343e-03,1.023174082729452375e-11
9.862521794868784469e-03,9.770264649454181834e-12
1.004625061717340749e-02,9.329604012850534389e-12
1.023340212191641702e-02,8.908819876350224855e-12
1.042404007021556327e-02,8.507015569985443825e-12
1.061822941099384125e-02,8.123334882494234002e-12
1.081603630310709954e-02,7.756960235222905296e-12
1.101752813788386791e-02,7.407110938487673105e-12
1.122277356208507652e-02,7.073041526669403141e-12
1.143184250129149725e-02,6.754040168483701625e-12
1.164480618372686072e-02,6.449427149029767917e-12
1.186173716452478509e-02,6.158553420374806483e-12
1.208270935044776506e-02,5.880799217577742392e-12
1.230779802506665188e-02,5.615572737195744994e-12
1.253707987440920262e-02,5.362308875450971514e-12
1.277063301308643990e-02,5.120468023362461441e-12
1.300853701090571267e-02,4.889534916269976289e-12
1.325087291997953214e-02,4.669017535293000158e-12
1.349772330233941706e-02,4.458446058379052427e-12
1.374917225806419029e-02,4.257371858701617655e-12
1.400530545393219653e-02,4.065366548269249878e-12
1.426621015260736910e-02,3.882021064703916376e-12
1.453197524236895383e-02,3.706944799239133483e-12
1.480269126739508674e-02,3.539764764076412556e-12
1.507845045861051086e-02,3.380124797322736530e-12
1.535934676510897039e-02,3.227684803812044667e-12
1.564547588616095955e-02,3.082120030190449910e-12
1.593693530381774456e-02,2.943120372718057792e-12
1.623382431612278159e-02,2.810389716310229312e-12
1.653624407094180307e-02,2.683645303407815591e-12
1.684429760042315330e-02,2.562617131329641983e-12
1.715808985610004986e-02,2.447047376821361900e-12
1.747772774464680795e-02,2.336689846572861603e-12
1.780332016430113962e-02,2.231309452531899483e-12
1.813497804196495186e-02,2.130681710894606558e-12
1.847281437099634188e-02,2.034592263703989867e-12
1.881694424970555696e-02,1.942836422035945885e-12
1.916748492056815148e-02,1.855218729798293703e-12
1.952455581016860828e-02,1.771552547212409734e-12
1.988827856988809734e-02,1.691659653089023889e-12
2.025877711735016989e-02,1.615369865049899686e-12
2.063617767863858837e-02,1.542520676885381462e-12
2.102060883130158278e-02,1.472956912274416428e-12
2.141220154815729262e-02,1.406530394128534177e-12
2.181108924191518805e-02,1.343099628854662450e-12
2.221740781062883641e-02,1.282529504863449309e-12
2.263129568399528321e-02,1.224691004680208582e-12
2.305289387051707301e-02,1.169460930044577602e-12
2.348234600554275145e-02,1.116721639412753029e-12
2.391979840020238418e-02,1.066360797302579138e-12
2.436540009125464853e-02,1.018271134947067298e-12
2.481930289186254010e-02,9.723502217460434499e-13
2.528166144331499277e-02,9.285002470286354429e-13
2.575263326771199887e-02,8.866278116613447595e-13
2.623237882163122203e-02,8.466437290574192987e-13
2.672106155079433804e-02,8.084628351633172508e-13
2.721884794575178332e-02,7.720038070171850959e-13
2.772590759860482645e-02,7.371889894925731161e-13
2.824241326078434297e-02,7.039442298580517737e-13
2.876854090190592711e-02,6.721987198000810196e-13
2.930446976972142861e-02,6.418848445723819719e-13
2.985038245118730796e-02,6.129380389502777234e-13
3.040646493467067182e-02,5.852966496829630625e-13
3.097290667331408301e-02,5.589018041505371525e-13
3.154990064958086704e-02,5.336972849458496246e-13
3.213764344100276948e-02,5.096294101138553358e-13
